Absolute Pressure (kPa) Run #1;Temperature (°C) Run #1;Time (s) Auto
103,118;25,46;0,000
103,153;25,46;0,050
103,140;25,46;0,100
103,144;25,45;0,150
103,157;25,46;0,200
103,144;25,45;0,250
103,147;25,45;0,300
103,157;25,46;0,350
103,162;25,46;0,400
103,149;25,46;0,450
103,140;25,46;0,500
103,151;25,45;0,550
103,153;25,46;0,600
103,155;25,46;0,650
103,173;25,46;0,700
103,164;25,46;0,750
103,153;25,46;0,800
103,529;25,46;0,850
120,202;25,53;0,900
173,564;26,16;0,950
202,540;27,79;1,000
217,100;29,77;1,050
220,057;31,86;1,100
218,077;33,83;1,150
216,123;35,62;1,200
214,287;37,23;1,250
212,914;38,35;1,300
211,430;39,30;1,350
210,016;39,85;1,400
208,696;40,13;1,450
207,418;40,25;1,500
206,253;40,26;1,550
205,374;40,22;1,600
204,365;40,11;1,650
203,340;39,96;1,700
202,409;39,77;1,750
201,552;39,56;1,800
200,752;39,32;1,850
200,044;39,07;1,900
199,447;38,85;1,950
198,829;38,58;2,000
198,293;38,30;2,050
197,830;38,02;2,100
197,397;37,72;2,150
197,065;37,44;2,200
196,683;37,13;2,250
196,355;36,84;2,300
196,038;36,54;2,350
195,725;36,24;2,400
195,483;35,94;2,450
195,260;35,66;2,500
195,004;35,37;2,550
194,788;35,08;2,600
194,659;34,85;2,650
194,482;34,57;2,700
194,281;34,30;2,750
194,163;34,03;2,800
194,012;33,78;2,850
193,787;33,53;2,900
193,640;33,27;2,950
193,568;33,04;3,000
193,382;32,80;3,050
193,308;32,56;3,100
193,199;32,34;3,150
193,090;32,13;3,200
192,998;31,92;3,250
192,917;31,72;3,300
192,819;31,52;3,350
192,775;31,33;3,400
192,692;31,14;3,450
192,714;30,96;3,500
192,633;30,79;3,550
192,583;30,61;3,600
192,504;30,45;3,650
192,480;30,29;3,700
192,410;30,14;3,750
192,357;30,01;3,800
192,357;29,87;3,850
192,314;29,73;3,900
192,298;29,60;3,950
192,270;29,47;4,000
192,266;29,34;4,050
192,196;29,21;4,100
192,180;29,10;4,150
192,132;28,99;4,200
192,172;28,88;4,250
192,110;28,77;4,300
192,134;28,67;4,350
