"Date and Time Run #1";"Time (s) Run #1";"Temperature 1, Ch P1 (°C) Run #1";"Temperature 2, Ch P1 (°C) Run #1";"Temperature 3, Ch P1 (°C) Run #1";"Temperature 4, Ch P1 (°C) Run #1";"Temperature 1, Ch P4 (°C) Run #1";"Temperature 2, Ch P4 (°C) Run #1";"Temperature 3, Ch P4 (°C) Run #1";"Temperature 4, Ch P4 (°C) Run #1"
02/26/2025 02:52:11 pm;0,000;70,34;74,49;63,21;89,63;39,84;46,02;30,55;58,20
02/26/2025 02:52:12 pm;1,000;70,34;74,48;63,23;89,63;39,84;46,01;30,55;58,20
02/26/2025 02:52:13 pm;2,000;70,37;74,50;63,23;89,63;39,83;46,00;30,54;58,19
02/26/2025 02:52:14 pm;3,000;70,38;74,51;63,25;89,63;39,83;45,98;30,52;58,18
02/26/2025 02:52:15 pm;4,000;70,40;74,51;63,25;89,60;39,82;45,97;30,51;58,19
02/26/2025 02:52:16 pm;5,000;70,38;74,49;63,23;89,56;39,82;45,96;30,51;58,20
02/26/2025 02:52:17 pm;6,000;70,37;74,45;63,20;89,47;39,81;45,95;30,50;58,21
02/26/2025 02:52:18 pm;7,000;70,36;74,43;63,20;89,37;39,80;45,94;30,47;58,23
02/26/2025 02:52:19 pm;8,000;70,35;74,40;63,20;89,25;39,78;45,93;30,47;58,23
02/26/2025 02:52:20 pm;9,000;70,36;74,38;63,20;89,13;39,78;45,92;30,49;58,22
02/26/2025 02:52:21 pm;10,000;70,38;74,36;63,19;89,00;39,78;45,92;30,50;58,20
02/26/2025 02:52:22 pm;11,000;70,40;74,36;63,18;88,86;39,78;45,91;30,50;58,19
02/26/2025 02:52:23 pm;12,000;70,40;74,33;63,16;88,69;39,77;45,87;30,50;58,18
02/26/2025 02:52:24 pm;13,000;70,34;74,26;63,15;88,49;39,76;45,84;30,49;58,17
02/26/2025 02:52:25 pm;14,000;70,29;74,20;63,13;88,28;39,76;45,80;30,49;58,15
02/26/2025 02:52:26 pm;15,000;70,22;74,14;63,10;88,09;39,76;45,79;30,48;58,13
02/26/2025 02:52:27 pm;16,000;70,20;74,08;63,08;87,87;39,76;45,78;30,48;58,12
02/26/2025 02:52:28 pm;17,000;70,18;74,04;63,06;87,70;39,76;45,77;30,47;58,12
02/26/2025 02:52:29 pm;18,000;70,14;73,99;63,04;87,51;39,77;45,78;30,46;58,13
02/26/2025 02:52:30 pm;19,000;70,14;73,95;63,02;87,37;39,77;45,78;30,46;58,14
02/26/2025 02:52:31 pm;20,000;70,13;73,90;62,98;87,23;39,77;45,77;30,46;58,14
02/26/2025 02:52:32 pm;21,000;70,10;73,80;62,97;87,07;39,76;45,75;30,44;58,14
02/26/2025 02:52:33 pm;22,000;70,03;73,69;62,98;86,89;39,76;45,75;30,44;58,15
02/26/2025 02:52:34 pm;23,000;69,93;73,56;62,96;86,66;39,76;45,74;30,43;58,14
02/26/2025 02:52:35 pm;24,000;69,81;73,43;62,93;86,42;39,75;45,73;30,42;58,14
02/26/2025 02:52:36 pm;25,000;69,71;73,28;62,91;86,19;39,75;45,73;30,42;58,13
02/26/2025 02:52:37 pm;26,000;69,66;73,13;62,92;85,97;39,73;45,74;30,43;58,13
02/26/2025 02:52:38 pm;27,000;69,65;73,07;62,94;85,81;39,73;45,74;30,43;58,14
02/26/2025 02:52:39 pm;28,000;69,68;73,03;62,96;85,69;39,73;45,74;30,45;58,14
02/26/2025 02:52:40 pm;29,000;69,69;72,98;62,99;85,57;39,73;45,74;30,47;58,15
02/26/2025 02:52:41 pm;30,000;69,71;72,91;63,01;85,45;39,74;45,75;30,49;58,15
02/26/2025 02:52:42 pm;31,000;69,73;72,88;63,02;85,34;39,75;45,75;30,53;58,17
02/26/2025 02:52:43 pm;32,000;69,72;72,83;62,96;85,23;39,75;45,76;30,53;58,17
02/26/2025 02:52:44 pm;33,000;69,63;72,70;62,93;85,09;39,76;45,77;30,52;58,17
02/26/2025 02:52:45 pm;34,000;69,58;72,56;62,92;84,95;39,76;45,78;30,51;58,17
02/26/2025 02:52:46 pm;35,000;69,53;72,43;62,92;84,81;39,76;45,79;30,51;58,17
02/26/2025 02:52:47 pm;36,000;69,51;72,30;62,92;84,66;39,77;45,79;30,51;58,16
02/26/2025 02:52:48 pm;37,000;69,50;72,21;62,91;84,52;39,77;45,79;30,51;58,15
02/26/2025 02:52:49 pm;38,000;69,47;72,11;62,93;84,39;39,77;45,80;30,51;58,14
02/26/2025 02:52:50 pm;39,000;69,45;72,00;62,93;84,28;39,77;45,81;30,51;58,14
02/26/2025 02:52:51 pm;40,000;69,41;71,85;62,93;84,14;39,76;45,79;30,53;58,15
02/26/2025 02:52:52 pm;41,000;69,33;71,71;62,91;83,96;39,75;45,76;30,54;58,15
02/26/2025 02:52:53 pm;42,000;69,26;71,58;62,94;83,78;39,74;45,75;30,54;58,14
02/26/2025 02:52:54 pm;43,000;69,22;71,48;62,95;83,65;39,74;45,76;30,55;58,13
02/26/2025 02:52:55 pm;44,000;69,20;71,40;62,98;83,53;39,75;45,77;30,56;58,13
02/26/2025 02:52:56 pm;45,000;69,17;71,31;63,01;83,42;39,75;45,78;30,59;58,13
02/26/2025 02:52:57 pm;46,000;69,15;71,22;63,03;83,30;39,76;45,78;30,60;58,13
02/26/2025 02:52:58 pm;47,000;69,12;71,16;62,97;83,19;39,75;45,76;30,59;58,12
02/26/2025 02:52:59 pm;48,000;68,99;70,99;62,90;83,04;39,74;45,73;30,60;58,11
02/26/2025 02:53:00 pm;49,000;68,88;70,81;62,86;82,85;39,73;45,71;30,61;58,11
02/26/2025 02:53:01 pm;50,000;68,78;70,64;62,79;82,68;39,73;45,70;30,61;58,09
02/26/2025 02:53:02 pm;51,000;68,66;70,43;62,73;82,50;39,73;45,70;30,60;58,08
02/26/2025 02:53:03 pm;52,000;68,58;70,32;62,69;82,37;39,74;45,70;30,60;58,08
02/26/2025 02:53:04 pm;53,000;68,51;70,18;62,68;82,23;39,74;45,70;30,59;58,08
02/26/2025 02:53:05 pm;54,000;68,50;70,13;62,68;82,10;39,75;45,72;30,60;58,08
02/26/2025 02:53:06 pm;55,000;68,45;70,06;62,67;81,99;39,76;45,72;30,60;58,08
02/26/2025 02:53:07 pm;56,000;68,37;69,93;62,66;81,86;39,76;45,72;30,62;58,09
02/26/2025 02:53:08 pm;57,000;68,26;69,78;62,61;81,71;39,77;45,72;30,63;58,08
02/26/2025 02:53:09 pm;58,000;68,19;69,63;62,61;81,56;39,78;45,73;30,64;58,07
02/26/2025 02:53:10 pm;59,000;68,15;69,57;62,60;81,44;39,78;45,73;30,63;58,06
02/26/2025 02:53:11 pm;60,000;68,08;69,48;62,57;81,28;39,78;45,71;30,62;58,05
02/26/2025 02:53:12 pm;61,000;67,98;69,36;62,55;81,09;39,77;45,69;30,62;58,05
02/26/2025 02:53:13 pm;62,000;67,89;69,26;62,54;80,94;39,76;45,69;30,61;58,05
02/26/2025 02:53:14 pm;63,000;67,81;69,17;62,51;80,79;39,76;45,67;30,61;58,05
02/26/2025 02:53:15 pm;64,000;67,71;69,05;62,46;80,63;39,76;45,65;30,61;58,03
02/26/2025 02:53:16 pm;65,000;67,65;68,95;62,41;80,48;39,76;45,64;30,62;58,00
02/26/2025 02:53:17 pm;66,000;67,59;68,87;62,37;80,36;39,76;45,63;30,61;57,97
02/26/2025 02:53:18 pm;67,000;67,57;68,82;62,36;80,26;39,77;45,63;30,61;57,93
02/26/2025 02:53:19 pm;68,000;67,53;68,78;62,39;80,19;39,78;45,64;30,63;57,90
02/26/2025 02:53:20 pm;69,000;67,48;68,72;62,38;80,11;39,78;45,67;30,64;57,89
02/26/2025 02:53:21 pm;70,000;67,41;68,62;62,36;80,03;39,78;45,69;30,66;57,88
02/26/2025 02:53:22 pm;71,000;67,31;68,52;62,28;79,93;39,79;45,69;30,67;57,87
02/26/2025 02:53:23 pm;72,000;67,21;68,42;62,23;79,82;39,79;45,67;30,68;57,87
02/26/2025 02:53:24 pm;73,000;67,14;68,36;62,20;79,75;39,79;45,67;30,70;57,87
02/26/2025 02:53:25 pm;74,000;67,11;68,34;62,18;79,71;39,78;45,67;30,70;57,87
02/26/2025 02:53:26 pm;75,000;67,11;68,34;62,14;79,67;39,79;45,66;30,69;57,86
02/26/2025 02:53:27 pm;76,000;67,09;68,32;62,08;79,61;39,80;45,67;30,69;57,85
02/26/2025 02:53:28 pm;77,000;67,03;68,23;62,05;79,50;39,80;45,67;30,69;57,84
02/26/2025 02:53:29 pm;78,000;67,01;68,18;62,05;79,41;39,81;45,67;30,69;57,84
02/26/2025 02:53:30 pm;79,000;67,00;68,15;62,06;79,33;39,82;45,69;30,68;57,83
02/26/2025 02:53:31 pm;80,000;66,98;68,12;62,04;79,26;39,82;45,70;30,69;57,84
02/26/2025 02:53:32 pm;81,000;66,91;68,06;62,02;79,19;39,83;45,69;30,69;57,83
02/26/2025 02:53:33 pm;82,000;66,88;68,02;62,00;79,11;39,84;45,69;30,70;57,83
02/26/2025 02:53:34 pm;83,000;66,84;67,95;62,00;79,03;39,84;45,68;30,70;57,81
02/26/2025 02:53:35 pm;84,000;66,79;67,87;61,99;78,93;39,84;45,66;30,69;57,79
02/26/2025 02:53:36 pm;85,000;66,76;67,84;61,98;78,87;39,83;45,65;30,69;57,79
02/26/2025 02:53:37 pm;86,000;66,70;67,75;61,94;78,78;39,83;45,63;30,69;57,77
02/26/2025 02:53:38 pm;87,000;66,61;67,63;61,91;78,64;39,83;45,64;30,68;57,77
02/26/2025 02:53:39 pm;88,000;66,53;67,50;61,89;78,45;39,83;45,63;30,68;57,76
02/26/2025 02:53:40 pm;89,000;66,46;67,40;61,86;78,27;39,81;45,61;30,68;57,75
02/26/2025 02:53:41 pm;90,000;66,36;67,24;61,82;78,07;39,81;45,61;30,68;57,72
02/26/2025 02:53:42 pm;91,000;66,29;67,14;61,76;77,94;39,81;45,61;30,70;57,69
02/26/2025 02:53:43 pm;92,000;66,20;67,05;61,70;77,87;39,82;45,62;30,71;57,67
02/26/2025 02:53:44 pm;93,000;66,13;66,99;61,66;77,81;39,83;45,62;30,74;57,65
02/26/2025 02:53:45 pm;94,000;66,04;66,94;61,60;77,76;39,84;45,64;30,77;57,64
02/26/2025 02:53:46 pm;95,000;66,01;66,90;61,56;77,72;39,86;45,66;30,78;57,64
