Time (s) Run #1	Angle (rad) Run #1	Angular Velocity (rad/s) Run #1	Angular Acceleration (rad/s²) Run #1	Position (m) Run #1	Velocity (m/s) Run #1	Acceleration (m/s²) Run #1	Absolute Pressure (kPa) Run #1	Temperature, Ch P2 (°C) Run #1	Temperature, Ch P3 (°C) Run #1
0,000	0,000			0,0000			99,503	3,99	62,2
0,050	0,000	0,000		0,0000	0,000		99,519	4,00	
0,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,527	3,99	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,545	4,00	
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,499	4,00	
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,473	4,00	
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,457	4,00	
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,00	
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,532	4,00	
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,00	
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,00	62,2
0,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,00	
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,01	
0,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,519	4,00	
0,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,486	4,00	
0,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,01	
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,525	4,00	
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,00	
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,00	
0,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,00	
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,00	62,2
1,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,521	4,00	
1,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,00	
1,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,527	4,01	
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,505	4,01	
1,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,01	
1,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,492	4,00	
1,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,516	4,00	
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,523	4,01	
1,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,01	
1,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,01	62,2
1,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,547	4,01	
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,01	
1,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,477	4,01	
1,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,503	4,01	
1,750	0,000	0,000	0,000	0,0000	0,000	0,000	99,497	4,01	
1,800	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,01	
1,850	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,01	
1,900	0,000	0,000	0,000	0,0000	0,000	0,000	99,484	4,01	
1,950	0,000	0,000	0,000	0,0000	0,000	0,000	99,490	4,02	
2,000	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,01	62,2
2,050	0,000	0,000	0,000	0,0000	0,000	0,000	99,460	4,01	
2,100	0,000	0,000	0,000	0,0000	0,000	0,000	99,534	4,01	
2,150	0,000	0,000	0,000	0,0000	0,000	0,000	99,473	4,02	
2,200	0,000	0,000	0,000	0,0000	0,000	0,000	99,499	4,01	
2,250	0,000	0,000	0,000	0,0000	0,000	0,000	99,488	4,02	
2,300	0,000	0,000	0,000	0,0000	0,000	0,000	99,495	4,02	
2,350	0,000	0,000	0,000	0,0000	0,000	0,000	99,501	4,01	
2,400	0,000	0,000	0,000	0,0000	0,000	0,000	99,525	4,01	
2,450	0,000	0,000	0,000	0,0000	0,000	0,000	99,508	4,02	
2,500	0,000	0,000	0,000	0,0000	0,000	0,000	99,479	4,02	62,2
2,550	0,000	0,000	0,000	0,0000	0,000	0,000	99,512	4,02	
2,600	0,000	0,000	0,000	0,0000	0,000	0,000	99,530	4,02	
2,650	0,000	0,000	0,000	0,0000	0,000	0,000	99,530	4,01	
2,700	0,000	0,000	0,000	0,0000	0,000	0,000	99,477	4,02	
